ObjectID,Group ID,Site ID,Date,pH,Hardness (ppm),Lead (ppb),Nitrate (ppm),Total Chlorine (ppm),Total Alkalinity (ppm),x,y
1,1,1,7/8/2026 5:00:00 PM,7.2,125.0,0.0,4.2,1.3,163.0,-93.222077,44.975991
2,1,1,7/8/2026 5:00:00 PM,7.7,161.0,2.9,6.8,0.0,163.0,-93.224638,44.972432
3,1,1,7/8/2026 5:00:00 PM,5.9,203.0,4.4,4.6,0.39,104.0,-93.221913,44.974914
4,2,2,7/8/2026 5:00:00 PM,7.0,223.0,8.3,0.8,0.48,169.0,-93.342105,44.961471
5,2,2,7/8/2026 5:00:00 PM,7.5,,,,,117.0,-93.340699,44.960411
6,2,2,7/8/2026 5:00:00 PM,9.0,147.0,2.1,,,196.0,-93.338061,44.960343
7,3,3,7/8/2026 5:00:00 PM,7.5,151.0,8.7,0.8,,177.0,-93.287991,44.976365
8,3,3,7/8/2026 5:00:00 PM,8.4,,,10.1,,,-93.287672,44.977265
9,3,3,7/8/2026 5:00:00 PM,7.3,144.0,8.8,3.9,,,-93.287745,44.978664
10,4,4,7/8/2026 5:00:00 PM,6.4,81.0,0.0,2.8,0.0,114.0,-93.477951,44.988496
11,4,4,7/8/2026 5:00:00 PM,6.9,180.0,,,,188.0,-93.482599,44.99023
12,4,4,7/8/2026 5:00:00 PM,6.6,155.0,7.9,4.8,0.55,163.0,-93.482678,44.986163
13,1,5,7/8/2026 5:00:00 PM,5.7,137.0,6.8,0.6,0.97,69.0,-93.433517,44.929669
14,1,5,7/8/2026 5:00:00 PM,8.6,274.0,,,,,-93.430546,44.925584
15,1,5,7/8/2026 5:00:00 PM,6.9,157.0,2.2,7.9,0.51,165.0,-93.431097,44.92605
16,2,6,7/8/2026 5:00:00 PM,7.1,63.0,0.0,,,129.0,-93.195717,44.972647
17,2,6,7/8/2026 5:00:00 PM,7.2,290.0,6.7,3.9,0.54,53.0,-93.197622,44.974476
18,2,6,7/8/2026 5:00:00 PM,7.3,,0.5,,,,-93.199414,44.974539
19,3,7,7/8/2026 5:00:00 PM,7.3,112.0,6.4,5.5,0.16,126.0,-93.479014,44.907531
20,3,7,7/8/2026 5:00:00 PM,7.3,285.0,7.2,7.7,0.23,130.0,-93.483407,44.907322
21,3,7,7/8/2026 5:00:00 PM,7.8,,,0.0,,40.0,-93.480938,44.907278
22,4,8,7/8/2026 5:00:00 PM,7.6,242.0,3.2,0.6,0.0,135.0,-93.233101,44.93436
23,4,8,7/8/2026 5:00:00 PM,7.8,,,0.0,,,-93.230766,44.936081
24,4,8,7/8/2026 5:00:00 PM,7.7,191.0,,3.9,,,-93.232078,44.939133
25,1,9,7/8/2026 5:00:00 PM,7.2,143.0,,0.0,,,-93.447217,44.945764
26,1,9,7/8/2026 5:00:00 PM,6.5,69.0,3.8,4.2,0.47,44.0,-93.448273,44.946775
27,1,9,7/8/2026 5:00:00 PM,7.6,258.0,0.0,8.4,0.0,179.0,-93.449898,44.943021
28,2,10,7/8/2026 5:00:00 PM,7.0,,4.3,,,,-93.273956,44.911078
29,2,10,7/8/2026 5:00:00 PM,7.3,,10.6,,,,-93.275436,44.914755
30,2,10,7/8/2026 5:00:00 PM,8.2,,4.1,3.2,,,-93.268779,44.912728
31,3,11,7/8/2026 5:00:00 PM,6.9,147.0,,,,170.0,-93.364854,44.944927
32,3,11,7/8/2026 5:00:00 PM,7.2,,0.0,,,,-93.362915,44.948431
33,3,11,7/8/2026 5:00:00 PM,7.1,238.0,5.3,3.0,,105.0,-93.363431,44.942888
34,4,12,7/8/2026 5:00:00 PM,6.7,299.0,4.3,6.2,1.67,91.0,-93.275261,44.934761
35,4,12,7/8/2026 5:00:00 PM,7.4,94.0,0.0,0.6,0.2,141.0,-93.274486,44.937897
36,4,12,7/8/2026 5:00:00 PM,7.6,,,6.0,,,-93.272892,44.937579
